id,coor x,coor y,temp,condc
1,1060601,864952,24.56,1.17
2,1060601,864957,24.56,1.18
3,1060601,864962,24.56,1.17
4,1060601,864967,24.56,1.17
5,1060601,864972,24.62,1.17
6,1060601,864976,24.62,1.17
7,1060602,864981,24.56,1.17
8,1060604,864983,24.56,1.17
9,1060608,864983,24.62,1.17
10,1060612,864982,24.62,1.17
11,1060616,864983,24.62,1.17
12,1060621,864983,-127,0.77
13,1060626,864983,-127,0.92
14,1060630,864982,-127,1.05
15,1060634,864983,-127,1.09
16,1060637,864983,-127,1.11
17,1060641,864983,24.5,1.17
18,1060650,864984,24.56,1.17
19,1060650,864992,24.56,1.17
20,1060652,865000,24.56,1.17
21,1060655,865008,24.56,1.17
22,1060656,865016,24.56,0.43
23,1060657,865027,24.56,0.41
24,1060658,865034,24.56,0.6
25,1060661,865043,24.56,0.71
26,1060661,865051,24.56,1.04
27,1060662,865061,24.5,1.16
28,1060665,865071,24.5,1.16
29,1060671,865081,24.5,1.16
30,1060675,865087,24.5,1.16
31,1060680,865091,24.5,1.16
32,1060688,865091,-127,1.16
33,1060695,865089,-127,1.15
34,1060702,865088,-127,1.16
35,1060708,865086,-127,1.15
36,1060716,865085,-127,0.34
37,1060718,865075,-127,0.28
38,1060717,865064,-127,0.27
39,1060717,865055,-127,0.26
40,1060718,865048,24.44,1.18
41,1060718,865039,24.44,1.18
42,1060718,865031,-127,1.18
43,1060717,865023,-127,1.18
44,1060718,865015,24.44,1.18
45,1060718,865006,-127,1.18
50,1060717,864994,-127,1.18
46,1060719,864986,-127,1.18
47,1060718,864973,-127,1.18
48,1060718,864961,24.44,1.17
59,1060717,864950,24.44,1.17
49,1060717,864938,24.44,1.17
51,1060714,864929,24.44,1.17
52,1060699,864927,24.44,1.17
53,1060689,864923,24.44,1.18
54,1060680,864917,24.44,1.18
55,1060671,864913,24.44,1.18
56,1060660,864909,24.44,1.18
57,1060652,864907,24.44,1.18
59,1060644,864907,-127,1.18
58,1060634,864906,-127,1.51
61,1060616,864907,-127,1.56
60,1060615,864909,24.44,1.15
62,1060616,864909,24.44,1.15
63,1060616,864913,24.44,1.15
64,1060617,864919,24.44,1.15
65,1060617,864923,24.44,1.15
66,1060620,864937,24.44,1.15
67,1060617,864941,24.44,1.15
68,1060617,864945,24.44,1.15
69,1060623,864948,-127,1.18
70,1060628,864949,24.44,1.17
71,1060628,864943,24.56,1.17
